PERIOD;SCENARIO;ENTITY;CENTER;DIVISION_CODE;AREA_CODE;FUNCTION_CODE;ORGANIZATION_CHART;CENTRALIZED_SOURCE_CENTER;FUNCTION_CODE_CENTRALIZED;ORGANIZATION_CHART_CENTRALIZED;OWN_SOURCE_CENTER;FUNCTION_CODE_OWN_COST;ORGANIZATION_CHART_OWN_COST;TAXONOMY_CODE;TAXONOMY_CORP;SPENT_TYPE;BUSINESS_AREA;GEOGRAPHY_CODE;GEOGRAPHY_CORP;COMPANY_CODE;PROJECT_CODE;LOCAL_CURRENCY_AMOUNT;AUDIT_CODE;AUDIT_DESCRIPTION_ES;AUDIT_DESCRIPTION_EN;EUROS_AMOUNT;HEADCOUNT;SETTLE_CODE;AUDIT_CORP
202506;C0401;9942023;0000;;;F00050;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-30304,258;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-30304,258;0;103679;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-290242,46;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-290242,46;0;102318;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-13082,867;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-13082,867;0;102970;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-52696,455;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-52696,455;0;102318;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-28013,285;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-28013,285;0;102451;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-967,082;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-967,082;0;103675;01_DZR
202506;C0401;9942023;0000;;;F00080;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020200;42023;42023;0;Pr_xxx;-38320,103;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-38320,103;0;103680;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;145720,27;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;145720,27;0;102983;01_DZN
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-1367,094;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-1367,094;0;102451;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-3675,406;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-3675,406;0;103552;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-246,903;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-246,903;0;102845;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-264,791;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-264,791;0;103554;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-148186,762;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-148186,762;0;102971;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-402,617;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-402,617;0;103140;01_DZR
202506;C0401;9942023;0000;;;F00047;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02020300;42023;42023;0;Pr_xxx;-18,263;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-18,263;0;103676;01_DZR
